Date,Vendor,Plant Location,Category,Material Type,Defect Type,Defect,Total Defect Qty,Total Downtime Minutes
18/03/2018,Browsebug,Westside,Materials & Components,Glass,No Impact,Bad Bearings,929547,3983
26/11/2019,Topiczoom,Frazer,Mechanicals,Raw Materials,No Impact,Not Certified,760509,4749
27/10/2019,Zoombeat,Jordan Valley,Logistics,Carton,Rejected,Dirty,765963,396
27/04/2019,Buzzdog,Barling,Mechanicals,Controllers,No Impact,Warped,31166,124
06/07/2019,Meemm,Charles City,Logistics,Molds,No Impact,Other,706546,4038
14/12/2019,Browsedrive,De Ruyter,Packaging,Labels,Rejected,Wrong Ink,258703,1323
20/01/2019,Dabfeed,Charles City,Logistics,Raw Materials,Impact,Misc,209697,2892
21/06/2019,Aivee,Chatham,Packaging,Carton,No Impact,Printing Defects,113150,1147
24/08/2018,Voonix,Jordan Valley,Logistics,Corrugate,Impact,Bad Seams,514131,1841
25/02/2019,LiveZ,Waldoboro,Mechanicals,Raw Materials,Rejected,Wrong material,355045,1325
24/08/2018,Blognation,Riverside,Logistics,Corrugate,Impact,Misaligned Slots,176701,614
06/12/2018,Skaboo,Cottonwood,Mechanicals,Raw Materials,No Impact,Integrity Failure,162550,4196
07/04/2018,Browseblab,New Britain,Logistics,Raw Materials,No Impact,Damaged in Transit,393907,4080
27/11/2018,Skipstorm,Clarksville,Packaging,Corrugate,Impact,Gap Variation,555309,4343
17/12/2019,Fivechat,De Ruyter,Logistics,Batteries,Rejected,Tubs Stuck,696445,793
28/11/2018,Muxo,Savannah,Goods & Services,Corrugate,Impact,Bad Seams,56536,625
07/08/2019,Layo,Waldoboro,Mechanicals,Film,Rejected,Misc,809701,1079
19/08/2019,Fatz,Prescott,Mechanicals,Carton,Impact,Printing Defects,433512,2088
27/03/2018,Jabbertype,Reading,Packaging,Corrugate,Impact,Print defects,758738,4729
11/06/2018,Tazzy,Middletown,Logistics,Corrugate,Impact,Folding - Wrong Crease,518237,3484
16/09/2019,Oyoyo,Jordan Valley,Packaging,Carton,Impact,Too Heavy,299422,1805
22/06/2018,Brainsphere,Charlevoix,Logistics,Composites,Impact,Tubs Stuck,452233,97
15/03/2018,Thoughtbridge,Westside,Mechanicals,Raw Materials,Impact,Dirty Containers,772822,2062
06/11/2018,Yodel,Florence,Logistics,Corrugate,Impact,Bad Seams,27886,1601
26/02/2019,Realbuzz,Clarksville,Goods & Services,Corrugate,Impact,Wrong  Size,909578,791
25/11/2018,Skidoo,Hingham,Logistics,Corrugate,Impact,Material Handling/ Shipping Requirements Error,946745,3811
08/12/2019,Browsezoom,Weaverville,Mechanicals,Raw Materials,No Impact,Mishandled,808349,4145
28/08/2018,Trilith,Henning,Materials & Components,Glass,No Impact,Bad Bearings,7656,1746
25/08/2019,Yambee,Chesaning,Mechanicals,Film,Rejected,Split Seams,750190,674
09/04/2018,Edgepulse,Middletown,Packaging,Raw Materials,No Impact,Not Cleaned,25205,1252
04/08/2018,Brightdog,Climax,Materials & Components,Labels,No Impact,Split Seams,288519,2463
